date	close	volume	open	high	low
2016-09-13	0.2028	0	0.2028	0.2028	0.2028
2016-09-12	0.2028	0	0.2028	0.2028	0.2028
2016-09-09	0.2028	0	0.2028	0.2028	0.2028
2016-09-08	0.2028	0	0.2028	0.2028	0.2028
2016-09-07	0.2028	0	0.2028	0.2028	0.2028
2016-09-06	0.2028	333	0.2274	0.2274	0.1926
2016-09-02	0.1758	0	0.1758	0.1758	0.1758
2016-09-01	0.1758	5750	0.1758	0.1758	0.1758
2016-08-31	0.18	0	0.18	0.18	0.18
2016-08-30	0.18	0	0.18	0.18	0.18
2016-08-29	0.18	50084	0.2038	0.2038	0.18
2016-08-26	0.2004	66668	0.2004	0.2004	0.2004
2016-08-25	0.18	0	0.18	0.18	0.18
2016-08-24	0.18	0	0.18	0.18	0.18
2016-08-23	0.18	43334	0.18	0.18	0.18
2016-08-22	0.24	0	0.24	0.24	0.24
2016-08-19	0.24	0	0.24	0.24	0.24
2016-08-18	0.24	0	0.24	0.24	0.24
2016-08-17	0.24	9500	0.2406	0.2406	0.24
2016-08-16	0.243	417	0.243	0.243	0.243
2016-08-15	0.222	24346	0.228	0.228	0.222
2016-08-12	0.1878	0	0.1878	0.1878	0.1878
2016-08-11	0.1878	0	0.1878	0.1878	0.1878
2016-08-10	0.1878	0	0.1878	0.1878	0.1878
2016-08-09	0.1878	80002	0.1878	0.1878	0.1878
2016-08-08	0.2045	13833	0.2352	0.2352	0.2045
2016-08-05	0.18	0	0.18	0.18	0.18
2016-08-04	0.18	115002	0.18	0.18	0.18
2016-08-03	0.2106	17	0.2106	0.2106	0.2106
2016-08-02	0.1968	93335	0.1968	0.1968	0.1968
2016-08-01	0.168	20984	0.168	0.168	0.168
2016-07-29	0.234	0	0.234	0.234	0.234
2016-07-28	0.234	0	0.234	0.234	0.234
2016-07-27	0.234	0	0.234	0.234	0.234
2016-07-26	0.234	0	0.234	0.234	0.234
2016-07-25	0.234	0	0.234	0.234	0.234
2016-07-22	0.234	0	0.234	0.234	0.234
2016-07-21	0.234	0	0.234	0.234	0.234
2016-07-20	0.234	0	0.234	0.234	0.234
2016-07-19	0.234	0	0.234	0.234	0.234
2016-07-18	0.234	0	0.234	0.234	0.234
2016-07-15	0.234	0	0.234	0.234	0.234
2016-07-14	0.234	0	0.234	0.234	0.234
2016-07-13	0.234	25167	0.21	0.234	0.21
2016-07-12	0.1965	0	0.1965	0.1965	0.1965
2016-07-11	0.1965	0	0.1965	0.1965	0.1965
2016-07-08	0.1965	0	0.1965	0.1965	0.1965
